comments,hate
벗으라고 누가 빌었냐? 보라고 올려놓고 왜 보냐 그러면 뭐라 그러냐? 요즘 계집들 제정신 아님.,2
엄마한테 잘해야 해요,0
백 대표님 갖고싶다,0
팩트는 집구석에서 악플다는 인간들보다 돈도 더 잘벌고 더 행복하게 살고있다는거.,1
태희 언니 올해 컴백한다고 소속사 대표가 그러던데 보고 싶다. 이전보다 훨씬 감정이 풍부해 졌다고 최근 화보인터뷰에서 그랬던데.,0
인생잘살아와서 옆에도 좋은사람들이많은듯...잘 이겨내길바랄께요삼가고인의명복을빕니다...,0
모성애는 아름답다. 아기를 안고 있는 모습이 참 아름답네요. 늘 건강하시고 행복하시길,0
남자배우가에러네..왤케 남자배우캐스팅을못 함,1
아무래도 윗선에서 장자연 묻으려고 프레임을 짠거같네. 윤지오의 발언을 거짓으로 몰아 장자연 죽음을 덮는거지. 달을 보라고 손가락으로 가리키니 사람들이 달은 안보고 손가락만 보는 꼴ㆍ,0
에이미 물귀신 작전이 휘(발)성 이벤트면 좋겠는데...,1
살빼기전 김태희보다 더이뻣음,0
학사비리 있을기다 추적해바,1
솔직히 신천지일 가능성도 있지ㅋ.ㅋ,1
상화 이뻐졌다,0
와..남주혁 머리 저렇게 하니까 진짜 그레이랑 형제라고 해도 믿겠네,0
머리는 허전할까봐 있는지.. .,2
그럼 정용화에게 사과 하세요,0
윤시윤도 준영이랑 베프던데 조사안하니?,1
적당히들좀 해라 잘못은 했지만 이건 아니지안어,0
결혼 잘 해서 행복한듯 보기가 좋내요.,0
그냥 응원합니다,0
난 mc몽 그리웠다!!!! 아직도 노래 듣고 그립다!!!!,0
한남들이 문제야 아주 지들이 뭐라도 된거마냥 어린애들이나 괴롭히고 희열감느끼냐?? 지도 덩치있는 남자였으면 머리털끝하나도 건들이지 못할것들이 아주ㅡㅡ,2
누구야? 첨보네,1
김민경 지금도 입에 우걱우걱 음식 처 넣고있을 듯,2
"한.남,충들 악플 좀 그만 써라ㅉㅉ 느그애비애비가 불쌍하다 한남은 이래서 임신시키지말고 뱃속에서 안락시켜야되는데 ㅉㅉ 아들낳은 한국여자들 존나싫어",2
위너랑 합쳐라 yg는 문제좀 그만 만들어라 이러다 청와대에 글 올라간다 경찰과 yg관계 조사해달라고,2
전라디언을 조심하자,2
부자 보거 싶다ㅜㅜ,0
대은아 혹시나 협박받고 있거나 약점 잡힌거 있으면 내년 크보 첫 선발경기에서 보크해,0
명품옷이라도 저렇게 전체적으로 로고가 다 디자인 된 옷은 너무 촌스럽지 않나요? 저런옷은 왠지 입기 챙피할거 같은데,0
기자들 끝난 일 가지고 아주 가관이다사람들도 알아보고 얘기해라 이미 끝난 일임이런거에 낚이지말고,1
연예인 장애로 바꿔라,1
이게뭐가 나쁜예죠? 누구나 만나고 헤어질수있는데 비유가 좋지 않네요,0
똥싸고 자빠졌네,1
발가락 핣고 싶다.,2
타투한 이후로 이미지에 흠집나고 계속 말이 나오는거 보니 적이 많아졌나봐..,0
한국여자는 집에서청소나처해라 밖에싸돌아다니지말고ㅋㅋ생리대로 싸대기 ㅈㄴ치고싶으니깐,2
처음부터. 고현정은 없는게 낳았다목소리 얼굴표정도. 약먹은사람처럼이상하더니만.....;.,1
왕진진부인낸시랭님 결혼후 더 이뻐지셨네요ㅎㅎ 왕진진♡낸시랭 알콩달콩 이쁜사랑하시면서 오래오래 행복하게 잘사세요ㅎㅎ 과거는잊어버리시고 둘만의행복을찾아요 ㅎㅎ 그리고 네티즌말신경쓰지마세요,0
아이유 생각나네 사귈거면 조용히 사귀지 티를 못내 안달났냐 관종들인가,1
여러분!!! 오늘 고현정이 어떤남자 욕조에서 샤워기로 물뿌리고 때리는거 개웃기지 않았나요? 저 엄청 뿜었어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
이러다 성기노출도 자유될듯...,1
이래서 여자는 상종하면 안돼.....시기 질투...이제와서 ㅈㄹ 이야...안고가기로했으면 잘살게 내버려두지...,2
좋은뜻으로 한말에 못잡아 먹어서 난리들은,1
이랬는데 범인 강하늘,0
김병만이 뭔 잘못...?,0
머리좀 저렇게 안했음 좋겠음 무슨 상투말은것도 아니구 왤케 꼴뵈기싫든지,1
김신영은 진짜 최고 개그맨임ㅋㅋㅋ,0
홍진영은 진리다,0
3일에 12억원어치 팔만큼 파급력있는 사람입니다. 왜 다들 조롱만 하나요? 잘 알지 못한다면 더더욱 함부로 말하면 안되죠.,0
방송 못봤는데 김원희 애기 안갖는 이유가 조카라는거?조카를 자식처럼 여긴다는건지..남편과 시댁 생각은 안하나? 남편이 애 못갖는다면 할수없지만 그게 아니면 김원희 너무 이기적인데,2
신정환 출연 대국민 사과나 하길 뻔뻔하다,0
항상 현빈 씨는 배역이 비슷비슷 인생 그저 먹는 싹아지 없고 무례한 한남충 실장님에 이혼 3번 씩한 바람둥이에 귀신같이 캐스팅 이번 캐릭도 또 한남충,2
에휴ㅠㅠ 아들셋이라ㅋ 돈많으니 뭐~~,0
악플러들=글하나못읽는 노안온 틀딱,2
남자가 그정도로 상해 입었다면 구하라는 얼마나 더 다쳤겠냐? 여자를 한번도 때린적 없다는 남자 말을 미드는건가? 설마?,1
비지니스 그룹,1
정소민이 아깝다 도대체 왜 ㅜㅜ,0
홍석천 응원글 남기는애들 너무 가식적이다,1
문희주니 닮은 딸이라면 ㅠㅠ.,1
인물은 참 없다,0
진짜 욕심많아 보이게 생겼다..,1
ㄴ와 약쟁이 ^^,2
오늘밤 너와나 단둘이서 파리파리,0
지금도 벗방수준인데?,2
성형으로 화장으로 속고 자식낳으면 또 통수 ㄷㄷ,2
한철장사인데 바짝벌어야지,1
애들이 볼까 걱정이네 이걸 올리고,0
다시 현빈 역시 현빈 너무 잘생기고 연기도 잘해~!!,0
이 정도면 부모때문에 인생조졌다고 한탄하지마라. 아주 충분한 시간아니냐? 니부모의 죄를 인정하고 피해자들에게 사죄할시간? 너희가 끝난건 니 부모탓도 있지만 우선은늬들 스스로가 그것밖에 안되기때문이다.,2
나 이런 댓글 안달고 싶은데..그럼에도 불구하고...이태임씨 결혼하고 애낳고 잘 살다가 어느날 불현듯 나 이혼했어요..라며 다시 나오실듯...이라는 생각이 막 드는건 ..,1
1회에 교도소에서 마취도 없이 자기몸 꿰매는거랑뜨거운 커피말고 차가운거만먹는거보고아랏는데 난 무통증 무감각이라고,0
얘가 누군데,1
차은우가 못 생겼다는게 아니라.....차은우 보다 더 잘난 사람 많은데 왜 쟤가지고 난리임? 진심 궁금;;;;,1
버닝썬 성폭행범은 어찌됐나요,0
"왜 여자만 차별하지? 남자연예인들 도박 마약 등등 많이 하고도 잘만 나오잖아 ! 다표적으로. 이수근, 주지훈 등등 . 여기에 악플다는 여자들. . . . 생각좀하자",1
정조국김성은 키크고늘씬하니 머리는안될테고 운동시키면되겠네 농구 배구,1
‘노무현’하지 않은게 다행이네요,2
둘이 결혼 하든말든 관심없는데 제발 살림남 하차해라. 얘네나오는 부분 존나 노잼이라 매번 빨리감기 해야하는것도 진짜 귀찮다,1
참 생긴대로노네!진짜 구제불능이다!ㅉㅉ,2
서장훈도 힘들었을듯.. 힘내시길 현명한 남자인거 같음,0
다음 화는 꽃길 걷장,0
얼마만에보는 배우다운 비주얼이냐? 둘 얼굴만봐도 존잼 송혜교 분위기 죽인다 고급진 얼굴,0
한고은 아비가 남에 돈 빌려서 미국으로 도망가서 그가정 망쳤는데 한고은집안이 잘될리가 없지 아버지가 잘못한곳 찾아가 사과가먼저,2
연기 갈증이라고 하기엔 결혼전에도 딱히 작품활동 한게 없음,1
미나가결혼한지2년만됫음? 더오래되지않앗음?,0
전현무가 승리자네 얼굴은 별로여도 몸매가 죽여주니까,1
다들 심심한가봐요 사실일수도 거짓일수도있는거아니예요 그여자 한만디에 모든게사실이 되나요? 오달수씨 불쌍...,0
노홍철 이새기나와서 딴데뜬다,2
어이가없다 20년사귄다고ㅋㅋㅋ 서로 사랑하는건 절대 아니다,1
연애를 그리 길게해놓구. 결혼해선 내내 집안일에 불려다니고이용대 경기하는동안 독박육아에. 연예인되려했는데 주부되버린 자신의 상황이 못견뎌진거 아닐까,0
한고은 씨 동상이몽 이후에는 예능에서 않보이나했는데 반갑네요~~화이팅 입니당^^,0
요지경이구나.버르장머리없는마닷이 또 사고쳤네.인생하나 물건너가나?,1
트와 전성기는 이미 지났잖아. 인제 다른 그룹처럼 멤버 하나 둘 나가고 자연스레 개인활동으로 노선 잡아야지 뭐,1
동생이 착하네...,0
딸들이 다 이쁘네,0
시청율 때문에 이젠 못하는짓이 없구만...,1
그래 그동안 아니꼽게 봤지만 그래도 아프다니까 치료에 전념해서 꼭 완쾌하길,0
뼈 붙는데는 개고기가 최고다~!!,2
여자는 살찌면 성격도 난폭해지더라,2
머가리는 그대로네 ㅋㅋㅋㅋㅋㅋㅋ,1
근데 이건 솔직히 불법영업인지 모를수도 있을것같은데..그냥 유흥업소인건 알앗을거고...,0
헐 완전 애기같으시다,0
꾹세청이 YG 제대로 할까??? ㅋㅋㅋ YG망하면 제대로 한거고 아님 봐주는거지 ㅋㅋㅋ,1
하여간 여성인권 여성인권 하는 것들이 같은 여자를 더 깎아내려요 보면은,1
윤두준처럼 무책임하네,1
나혼자 산다가 모토인데 전현무가 지꾸 집에 찾아가잖아 하차하고 니네끼리 둘이서 산다 찍어,1
1보다 재미없어요 진짜 보다 나올뻔,1
버즈는 민경훈이제~~~!,0
아 진짜 개노잼 홍자매야 왜 예전 환상커플 마이걸 요런 드라마 못 만드냐?,1
박호산이 오달수한테 쨉이 되나. 박호산보다 임원희가 나은데..,1
될놈 될,0
난 마지막 방송은 하고 끝냈으면 했는데. 설리에 대한 선플들을 읽어주었으면..,0
음주운전자 자꾸 방송 왜 내보내는거야,2
예인이 악플을 '보고' 욕한 것이 맞나? 당시 상황은 멤버가 편의점 갔다가 브이앱 도중 조용해진 방에 들어오며 욕을한 것이라 매니저 혹은 일상의 다른 사람에게 한 것일 수 있다. 팩트는 욕한 걸그룹일 뿐.,0
엥 누군지모르는데.. 남자라서 이렇게 관심받나 ㅋㅋ,0
조영남과 윤여정은 5억년 전 생에 한몸이었을 가능성을 배제하기가 좀 그렇다,1
누구 이창섭 태도 별로라고 하신분 ㅋㅋㅋㅋㅋ,0
김희선 연기 계속햇음함,0
육중완 사람 좋은척은 다하더니 실망.,1
악플다는 사람들 싹 다 고소나 당해라,1
룸 간게 잘못은 아닐지 몰라도 그러면 결혼을 하지 말아야지... 노총각이 아니라 NO총각이 양심없이 결혼하면 안 되지,1
결국 했지만 몰랐다 인가요?!,0
작가님 보고 계시죠???이게 여론입니다...이 여론 반영해주세요,0
개폭망 벌써 차트아웃 1따리 ㅋㅋ,1
어차피 강성훈 없으면 젝키는 색깔을 잃는다...젝키가 아닌 다른 팀이 되야 할듯,0
김정훈 꽃뱀한테 물린느낌? 계획된 임신도 아니고 대체 뭘 책임지라는거지? 애를 빌미로 보증금 요구? 웃기는 짬뽕,2
남녀간 섹스할때 구강성교는 기본옵션으로붙는 애무인데 무슨수치심까지야 기본섹스순서에도 들어갈 아주기본적인항목인데,2
다말아먹고 튀냐,1
fm대행진은 kbs아나운서들만 하는줄알았는데..,0
정우성을 정권에 운운하는 것들은 수준이 도대체 뭐냐 정우성이 그동안 영화계에 끼친 공로만으로 대상 받고도 남는다 이것들아,1
누군데 출산으로 메인에 걸려있는거임,1
꼬랑내나는 발따위가 사진이라네 개웃김,1
40살에 폐경에 다리까지 노답이라이 ㅋㅋㅋ,2
제발 안나와주시면해요윌벤져스 너무 보고싶은데 못보고 있어요 ㅠ,1
맨날 못생기고 더러운 기안 이시언 이딴 애들 보다가 황민현 나오니깐 눈정화 오졌다,1
솔직히 지루..,0
조인성 연기 ㅈㄴ 못함 ㅇㅈ??,2
컨셉 희한하게잡았네 종진이..,0
어떤년인지 아주 성격이 지랄맞네 ㅋㅋㅋ,2
근데 왜 남자만 왜 마스크 쓰고다녀야되나여? 여자는 안쓰고다니는데 너무한거아니야?나도 내일부터 화장하고 다닐래,2
